        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.22000000e+01,        +2.890886600732e-11,        +2.882066054234e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+01,        +2.891005432693e-11,        +2.881340375493e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+01,        +2.891076717808e-11,        +2.880670240192e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+01,        +2.891097768769e-11,        +2.880056817822e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+01,        +2.891066187656e-11,        +2.879500980606e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+01,        +2.890979879030e-11,        +2.879003300529e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+01,        +2.890837061510e-11,        +2.878564048094e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+01,        +2.890636277779e-11,        +2.878183192823e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.890376402927e-11,        +2.877860405445e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+01,        +2.890056651087e-11,        +2.877595061780e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+01,        +2.889676580300e-11,        +2.877386248258e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.33000000e+01,        +2.889236095577e-11,        +2.877232769052e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+01,        +2.888735450137e-11,        +2.877133154768e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+01,        +2.888175244794e-11,        +2.877085672639e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+01,        +2.887556425501e-11,        +2.877088338163e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.37000000e+01,        +2.886880279044e-11,        +2.877138928111e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+01,        +2.886148426905e-11,        +2.877234994825e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.39000000e+01,        +2.885362817337e-11,        +2.877373881734e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.884525715654e-11,        +2.877552739966e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+01,        +2.883639692812e-11,        +2.877768545991e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+01,        +2.882707612327e-11,        +2.878018120162e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.43000000e+01,        +2.881732615584e-11,        +2.878298146056e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+01,        +2.880718105629e-11,        +2.878605190496e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+01,        +2.879667729512e-11,        +2.878935724132e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+01,        +2.878585359284e-11,        +2.879286142459e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.47000000e+01,        +2.877475071733e-11,        +2.879652787151e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+01,        +2.876341126978e-11,        +2.880031967575e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.49000000e+01,        +2.875187946026e-11,        +2.880419982362e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.874020087414e-11,        +2.880813140911e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+01,        +2.872842223055e-11,        +2.881207784690e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+01,        +2.871659113420e-11,        +2.881600308213e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.53000000e+01,        +2.870475582190e-11,        +2.881987179580e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+01,        +2.869296490507e-11,        +2.882364960443e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+01,        +2.868126710962e-11,        +2.882730325295e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+01,        +2.866971101472e-11,        +2.883080079971e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.57000000e+01,        +2.865834479155e-11,        +2.883411179256e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+01,        +2.864721594379e-11,        +2.883720743491e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.59000000e+01,        +2.863637105091e-11,        +2.884006074105e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.862585551584e-11,        +2.884264667972e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+01,        +2.861571331818e-11,        +2.884494230523e-11,        +0.000000000000e+00,        +0.000000000000e+00
