        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 9.20000000e+00,        +1.414213562373e-01,        +1.423992920240e-01,        +3.413256461797e-03,        -1.332983817113e-01,        +3.830128307924e-02
 9.30000000e+00,        +1.414213562373e-01,        +1.425380761082e-01,        +3.398632029476e-03,        -1.317550155305e-01,        +4.321293223836e-02
 9.40000000e+00,        +1.414213562373e-01,        +1.426752957249e-01,        +3.373380542845e-03,        -1.300309895860e-01,        +4.806280486578e-02
 9.50000000e+00,        +1.414213562373e-01,        +1.428101299120e-01,        +3.337567849563e-03,        -1.281287659528e-01,        +5.284428745787e-02
 9.60000000e+00,        +1.414213562373e-01,        +1.429417593370e-01,        +3.291323389643e-03,        -1.260510457643e-01,        +5.755086462652e-02
 9.70000000e+00,        +1.414213562373e-01,        +1.430693712333e-01,        +3.234840276254e-03,        -1.238007652593e-01,        +6.217612742849e-02
 9.80000000e+00,        +1.414213562373e-01,        +1.431921643549e-01,        +3.168374993729e-03,        -1.213810915730e-01,        +6.671378152864e-02
 9.90000000e+00,        +1.414213562373e-01,        +1.433093539194e-01,        +3.092246710836e-03,        -1.187954182792e-01,        +7.115765519277e-02
 1.00000000e+01,        +1.414213562373e-01,        +1.434201765094e-01,        +3.006836209646e-03,        -1.160473606911e-01,        +7.550170710651e-02
 1.01000000e+01,        +1.414213562373e-01,        +1.435238949036e-01,        +2.912584432555e-03,        -1.131407509290e-01,        +7.974003401712e-02
 1.02000000e+01,        +1.414213562373e-01,        +1.436198028070e-01,        +2.809990652273e-03,        -1.100796327602e-01,        +8.386687819513e-02
 1.03000000e+01,        +1.414213562373e-01,        +1.437072294519e-01,        +2.699610271820e-03,        -1.068682562179e-01,        +8.787663471342e-02
 1.04000000e+01,        +1.414213562373e-01,        +1.437855440404e-01,        +2.582052263776e-03,        -1.035110720053e-01,        +9.176385854144e-02
 1.05000000e+01,        +1.414213562373e-01,        +1.438541600014e-01,        +2.457976260229e-03,        -1.000127256895e-01,        +9.552327145255e-02
 1.06000000e+01,        +1.414213562373e-01,        +1.439125390336e-01,        +2.328089306925e-03,        -9.637805169058e-02,        +9.914976874284e-02
 1.07000000e+01,        +1.414213562373e-01,        +1.439601949095e-01,        +2.193142297286e-03,        -9.261206706915e-02,        +1.026384257601e-01
 1.08000000e+01,        +1.414213562373e-01,        +1.439966970149e-01,        +2.053926103873e-03,        -8.871996511623e-02,        +1.059845042412e-01
 1.09000000e+01,        +1.414213562373e-01,        +1.440216736000e-01,        +1.911267426856e-03,        -8.470710874636e-02,        +1.091834584573e-01
 1.10000000e+01,        +1.414213562373e-01,        +1.440348147193e-01,        +1.766024380871e-03,        -8.057902369525e-02,        +1.122309411636e-01
 1.11000000e+01,        +1.414213562373e-01,        +1.440358748415e-01,        +1.619081843366e-03,        -7.634139152087e-02,        +1.151228093508e-01
 1.12000000e+01,        +1.414213562373e-01,        +1.440246751072e-01,        +1.471346589220e-03,        -7.200004240699e-02,        +1.178551297938e-01
 1.13000000e+01,        +1.414213562373e-01,        +1.440011052193e-01,        +1.323742237870e-03,        -6.756094776739e-02,        +1.204241843894e-01
 1.14000000e+01,        +1.414213562373e-01,        +1.439651249508e-01,        +1.177204040635e-03,        -6.303021265065e-02,        +1.228264752737e-01
 1.15000000e+01,        +1.414213562373e-01,        +1.439167652548e-01,        +1.032673537135e-03,        -5.841406794648e-02,        +1.250587297084e-01
