# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Loadpull engine (Phase 4b-1).
# Circuit: hero3.cnl  |  f0=2.000 GHz  K=4
# Grid: 20 points  Z0=50 Ω
GridIdx; GammaRe; GammaIm; ZRe; ZIm; PavlDbm; IsTickle; Converged; Iterations; PavlW; PinDelivW; PoutW; GtDb; GpDb; BiasVLoad; BiasILoad; BiasVSrc; BiasISrc; StopReason
1; 0.2; 0; 75; 0; 24; 0; 1; 5; 0.2511886432; 0.2232787939; 9.695533685; 15.865717; 16.377242; 48; -0.32851973; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 25; 0; 1; 6; 0.316227766; 0.2810913476; 10.5343698; 15.226086; 15.737611; 48; -0.34693756; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 26; 0; 1; 7; 0.3981071706; 0.3538730405; 11.13681247; 14.467609; 14.979134; 48; -0.36218403; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 27; 0; 1; 8; 0.5011872336; 0.4454997632; 11.57043028; 13.633495; 14.14502; 48; -0.37517993; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; 28; 0; 1; 8; 0.6309573445; 0.5608509728; 11.89020593; 12.751894; 13.263419; 48; -0.38636262; -3.0499999; 0.060999999; Compression
2; 1.224646799E-17; 0.2; 46.15384615; 19.23076923; -50; 1; 1; 4; 1E-08; 8.888888888E-09; 7.997635922E-08; 9.0296163; 9.5411415; 48; -0.04911305; -3.0499999; 0.060999999; Compression
2; 1.224646799E-17; 0.2; 46.15384615; 19.23076923; -20; 0; 1; 3; 1E-05; 8.888888888E-06; 7.999964924E-05; 9.0308808; 9.5424061; 48; -0.049129846; -3.0499999; 0.060999999; Compression
2; 1.224646799E-17; 0.2; 46.15384615; 19.23076923; -19; 0; 1; 3; 1.258925412E-05; 1.11904481E-05; 0.0001007211932; 9.0312086; 9.5427338; 48; -0.0491342; -3.0499999; 0.060999999; Compression
2; 1.224646799E-17; 0.2; 46.15384615; 19.23076923; -18; 0; 1; 3; 1.584893192E-05; 1.408793949E-05; 0.0001268125185; 9.0316213; 9.5431465; 48; -0.049139681; -3.0499999; 0.060999999; Compression
2; 1.224646799E-17; 0.2; 46.15384615; 19.23076923; -17; 0; 1; 3; 1.995262315E-05; 1.773566502E-05; 0.0001596665992; 9.0321408; 9.543666; 48; -0.049146581; -3.0499999; 0.060999999; Compression
2; 1.224646799E-17; 0.2; 46.15384615; 19.23076923; -16; 0; 1; 3; 2.511886432E-05; 2.232787939E-05; 0.0002010386077; 9.0327947; 9.5443199; 48; -0.049155268; -3.0499999; 0.060999999; Compression
2; 1.224646799E-17; 0.2; 46.15384615; 19.23076923; -15; 0; 1; 3; 3.16227766E-05; 2.810913476E-05; 0.0002531405879; 9.0336178; 9.5451431; 48; -0.049166206; -3.0499999; 0.060999999; Compression
