        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.10000000e+01,        +1.414213562373e-01,        +1.474822001487e-01,        +3.709250377805e-03,        -7.525475897670e-02,        +1.154810027596e-01
 1.11000000e+01,        +1.414213562373e-01,        +1.476382713005e-01,        +3.492539409560e-03,        -7.085805887910e-02,        +1.181953098582e-01
 1.12000000e+01,        +1.414213562373e-01,        +1.477764911145e-01,        +3.264025662864e-03,        -6.636397773902e-02,        +1.207430020465e-01
 1.13000000e+01,        +1.414213562373e-01,        +1.478959671229e-01,        +3.025095236154e-03,        -6.177875524859e-02,        +1.231206358587e-01
 1.14000000e+01,        +1.414213562373e-01,        +1.479959145484e-01,        +2.777201253440e-03,        -5.710874778828e-02,        +1.253249936242e-01
 1.15000000e+01,        +1.414213562373e-01,        +1.480756612951e-01,        +2.521855540566e-03,        -5.236042115170e-02,        +1.273530868832e-01
 1.16000000e+01,        +1.414213562373e-01,        +1.481346523055e-01,        +2.260619935373e-03,        -4.754034323144e-02,        +1.292021596743e-01
 1.17000000e+01,        +1.414213562373e-01,        +1.481724532567e-01,        +1.995097278498e-03,        -4.265517665345e-02,        +1.308696917043e-01
 1.18000000e+01,        +1.414213562373e-01,        +1.481887535749e-01,        +1.726922133335e-03,        -3.771167134642e-02,        +1.323534014039e-01
 1.19000000e+01,        +1.414213562373e-01,        +1.481833687457e-01,        +1.457751285277e-03,        -3.271665703133e-02,        +1.336512488718e-01
 1.20000000e+01,        +1.414213562373e-01,        +1.481562419068e-01,        +1.189254071762e-03,        -2.767703561622e-02,        +1.347614387078e-01
 1.21000000e+01,        +1.414213562373e-01,        +1.481074447085e-01,        +9.231025958640e-04,        -2.259977348045e-02,        +1.356824227311e-01
 1.22000000e+01,        +1.414213562373e-01,        +1.480371774337e-01,        +6.609618771903e-04,        -1.749189363340e-02,        +1.364129025787e-01
 1.23000000e+01,        +1.414213562373e-01,        +1.479457683716e-01,        +4.044799946609e-04,        -1.236046773261e-02,        +1.369518321749e-01
 1.24000000e+01,        +1.414213562373e-01,        +1.478336724449e-01,        +1.552782763323e-04,        -7.212607947348e-03,        +1.372984200606e-01
 1.25000000e+01,        +1.414213562373e-01,        +1.477014690901e-01,        -8.505840820912e-05,        -2.055458654848e-03,        +1.374521315686e-01
 1.26000000e+01,        +1.414213562373e-01,        +1.475498594007e-01,        -3.149911972381e-04,        +3.103812042187e-03,        +1.374126908278e-01
 1.27000000e+01,        +1.414213562373e-01,        +1.473796625401e-01,        -5.330365725608e-04,        +8.258020986215e-03,        +1.371800825784e-01
 1.28000000e+01,        +1.414213562373e-01,        +1.471918114413e-01,        -7.377754263692e-04,        +1.339997883095e-02,        +1.367545537762e-01
 1.29000000e+01,        +1.414213562373e-01,        +1.469873478104e-01,        -9.278618048773e-04,        +1.852249910778e-02,        +1.361366149627e-01
 1.30000000e+01,        +1.414213562373e-01,        +1.467674164567e-01,        -1.102031275332e-03,        +2.361840749460e-02,        +1.353270413779e-01
 1.31000000e+01,        +1.414213562373e-01,        +1.465332589769e-01,        -1.259108864298e-03,        +2.868055128639e-02,        +1.343268737883e-01
 1.32000000e+01,        +1.414213562373e-01,        +1.462862068228e-01,        -1.398016516736e-03,        +3.370180906351e-02,        +1.331374190042e-01
 1.33000000e+01,        +1.414213562373e-01,        +1.460276737886e-01,        -1.517780027374e-03,        +3.867510055059e-02,        +1.317602500581e-01
 1.34000000e+01,        +1.414213562373e-01,        +1.457591479564e-01,        -1.617535398143e-03,        +4.359339665546e-02,        +1.301972060177e-01
