        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.15000000e+01,        +2.905192304824e-11,        +2.916073794070e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+01,        +2.906153454370e-11,        +2.914350696675e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.17000000e+01,        +2.907144428200e-11,        +2.912662276184e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+01,        +2.908157044956e-11,        +2.911015777588e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.19000000e+01,        +2.909183104725e-11,        +2.909418119815e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.910214430927e-11,        +2.907875859946e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+01,        +2.911242911868e-11,        +2.906395159855e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+01,        +2.912260541775e-11,        +2.904981755428e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+01,        +2.913259461128e-11,        +2.903640928495e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+01,        +2.914231996103e-11,        +2.902377481615e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+01,        +2.915170696968e-11,        +2.901195715809e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+01,        +2.916068375231e-11,        +2.900099411356e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+01,        +2.916918139391e-11,        +2.899091811725e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+01,        +2.917713429113e-11,        +2.898175610715e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+01,        +2.918448047670e-11,        +2.897352942854e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.919116192489e-11,        +2.896625377091e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+01,        +2.919712483652e-11,        +2.895993913808e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+01,        +2.920231990219e-11,        +2.895458985140e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.33000000e+01,        +2.920670254217e-11,        +2.895020458600e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+01,        +2.921023312188e-11,        +2.894677643974e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+01,        +2.921287714161e-11,        +2.894429303426e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+01,        +2.921460539956e-11,        +2.894273664758e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.37000000e+01,        +2.921539412718e-11,        +2.894208437729e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+01,        +2.921522509597e-11,        +2.894230833329e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.39000000e+01,        +2.921408569511e-11,        +2.894337585891e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.921196897930e-11,        +2.894524977899e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+01,        +2.920887368649e-11,        +2.894788867335e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+01,        +2.920480422525e-11,        +2.895124717396e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.43000000e+01,        +2.919977063160e-11,        +2.895527628392e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+01,        +2.919378849559e-11,        +2.895992371625e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+01,        +2.918687885778e-11,        +2.896513425030e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+01,        +2.917906807605e-11,        +2.897085010361e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.47000000e+01,        +2.917038766349e-11,        +2.897701131675e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+01,        +2.916087409804e-11,        +2.898355614873e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.49000000e+01,        +2.915056860500e-11,        +2.899042148047e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.913951691345e-11,        +2.899754322365e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+01,        +2.912776898799e-11,        +2.900485673243e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+01,        +2.911537873724e-11,        +2.901229721532e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.53000000e+01,        +2.910240370073e-11,        +2.901980014453e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+01,        +2.908890471606e-11,        +2.902730166031e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+01,        +2.907494556802e-11,        +2.903473896751e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+01,        +2.906059262200e-11,        +2.904205072202e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.57000000e+01,        +2.904591444350e-11,        +2.904917740452e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+01,        +2.903098140621e-11,        +2.905606167929e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.59000000e+01,        +2.901586529077e-11,        +2.906264873578e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.900063887666e-11,        +2.906888661093e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+01,        +2.898537552952e-11,        +2.907472649025e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+01,        +2.897014878633e-11,        +2.908012298592e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.63000000e+01,        +2.895503194084e-11,        +2.908503439022e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+01,        +2.894009763158e-11,        +2.908942290306e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+01,        +2.892541743489e-11,        +2.909325483219e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+01,        +2.891106146516e-11,        +2.909650076521e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.67000000e+01,        +2.889709798455e-11,        +2.909913571249e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+01,        +2.888359302438e-11,        +2.910113922047e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.69000000e+01,        +2.887061002011e-11,        +2.910249545485e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.885820946210e-11,        +2.910319325354e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.71000000e+01,        +2.884644856368e-11,        +2.910322614947e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+01,        +2.883538094851e-11,        +2.910259236322e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.73000000e+01,        +2.882505635862e-11,        +2.910129476620e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+01,        +2.881552038473e-11,        +2.909934081471e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+01,        +2.880681421997e-11,        +2.909674245583e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+01,        +2.879897443825e-11,        +2.909351600591e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.77000000e+01,        +2.879203279833e-11,        +2.908968200293e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+01,        +2.878601607432e-11,        +2.908526503377e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.79000000e+01,        +2.878094591335e-11,        +2.908029353793e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.877683872100e-11,        +2.907479958905e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.81000000e+01,        +2.877370557490e-11,        +2.906881865586e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+01,        +2.877155216670e-11,        +2.906238934423e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.83000000e+01,        +2.877037877255e-11,        +2.905555312211e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+01,        +2.877018025220e-11,        +2.904835402910e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+01,        +2.877094607637e-11,        +2.904083837261e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+01,        +2.877266038235e-11,        +2.903305441250e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.87000000e+01,        +2.877530205727e-11,        +2.902505203611e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.88000000e+01,        +2.877884484871e-11,        +2.901688242574e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.89000000e+01,        +2.878325750186e-11,        +2.900859772049e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.878850392268e-11,        +2.900025067451e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.91000000e+01,        +2.879454336616e-11,        +2.899189431355e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+01,        +2.880133064882e-11,        +2.898358159194e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.93000000e+01,        +2.880881638444e-11,        +2.897536505176e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.94000000e+01,        +2.881694724181e-11,        +2.896729648626e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+01,        +2.882566622360e-11,        +2.895942660936e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+01,        +2.883491296474e-11,        +2.895180473310e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.97000000e+01,        +2.884462404926e-11,        +2.894447845474e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.98000000e+01,        +2.885473334394e-11,        +2.893749335542e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.99000000e+01,        +2.886517234748e-11,        +2.893089271188e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.887587055331e-11,        +2.892471722299e-11,        +0.000000000000e+00,        +0.000000000000e+00
