        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.48000000e+01,        -4.431516603381e+01,        -5.773825389593e+01,        -2.734855233543e-01,        +4.130109478803e+01
 1.49000000e+01,        -4.798489699363e+01,        -6.470751607838e+01,        -2.748627999073e-01,        +3.914260627697e+01
 1.50000000e+01,        -5.411509265086e+01,        -8.202846357957e+01,        -2.762748881207e-01,        +3.698389935194e+01
 1.51000000e+01,        -5.955718134976e+01,        -1.697543259889e+02,        -2.777227187941e-01,        +3.482499380268e+01
 1.52000000e+01,        -5.113510718858e+01,        +1.429212775769e+02,        -2.792069562471e-01,        +3.266590989352e+01
 1.53000000e+01,        -4.625286694168e+01,        +1.319544907606e+02,        -2.807279924771e-01,        +3.050666822040e+01
 1.54000000e+01,        -4.309071591773e+01,        +1.263349173909e+02,        -2.822859430637e-01,        +2.834728956481e+01
 1.55000000e+01,        -4.076900043522e+01,        +1.223516488726e+02,        -2.838806448619e-01,        +2.618779474529e+01
 1.56000000e+01,        -3.894072885104e+01,        +1.190753610889e+02,        -2.855116555145e-01,        +2.402820446772e+01
 1.57000000e+01,        -3.743698024568e+01,        +1.161675624890e+02,        -2.871782548010e-01,        +2.186853917516e+01
 1.58000000e+01,        -3.616330248559e+01,        +1.134760011455e+02,        -2.888794478290e-01,        +1.970881889836e+01
 1.59000000e+01,        -3.506165574634e+01,        +1.109221913545e+02,        -2.906139700605e-01,        +1.754906310784e+01
 1.60000000e+01,        -3.409386515420e+01,        +1.084616078667e+02,        -2.923802941543e-01,        +1.538929056864e+01
 1.61000000e+01,        -3.323350158540e+01,        +1.060671305257e+02,        -2.941766385936e-01,        +1.322951919853e+01
 1.62000000e+01,        -3.246152213601e+01,        +1.037213087505e+02,        -2.960009780542e-01,        +1.106976593088e+01
 1.63000000e+01,        -3.176376030397e+01,        +1.014124132994e+02,        -2.978510554566e-01,        +8.910046582848e+00
 1.64000000e+01,        -3.112939856227e+01,        +9.913227602432e+01,        -2.997243956382e-01,        +6.750375730059e+00
 1.65000000e+01,        -3.054999573908e+01,        +9.687503956712e+01,        -3.016183205629e-01,        +4.590766588385e+00
 1.66000000e+01,        -3.001884393404e+01,        +9.463639931181e+01,        -3.035299659829e-01,        +2.431230903831e+00
 1.67000000e+01,        -2.953052959927e+01,        +9.241312549645e+01,        -3.054562994515e-01,        +2.717788511991e-01
 1.68000000e+01,        -2.908062572285e+01,        +9.020275175824e+01,        -3.073941395805e-01,        -1.887581057730e+00
