        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.48000000e+01,        -3.333520159678e+01,        +1.456079859367e+02,        -1.052949650447e-01,        +4.525446433973e+01
 1.49000000e+01,        -3.283365599645e+01,        +1.431041672936e+02,        -1.061850052003e-01,        +4.312332536599e+01
 1.50000000e+01,        -3.236547645726e+01,        +1.406450484610e+02,        -1.070805444641e-01,        +4.099211660020e+01
 1.51000000e+01,        -3.192773195058e+01,        +1.382239203454e+02,        -1.079806941224e-01,        +3.886084275706e+01
 1.52000000e+01,        -3.151793123740e+01,        +1.358353984460e+02,        -1.088844757578e-01,        +3.672950813592e+01
 1.53000000e+01,        -3.113394265372e+01,        +1.334751157945e+02,        -1.097908256070e-01,        +3.459811656899e+01
 1.54000000e+01,        -3.077393143389e+01,        +1.311394975956e+02,        -1.106985995728e-01,        +3.246667137149e+01
 1.55000000e+01,        -3.043631023100e+01,        +1.288255933803e+02,        -1.116065788729e-01,        +3.033517529399e+01
 1.56000000e+01,        -3.011969968590e+01,        +1.265309503192e+02,        -1.125134763011e-01,        +2.820363047740e+01
 1.57000000e+01,        -2.982289673285e+01,        +1.242535164464e+02,        -1.134179430734e-01,        +2.607203841094e+01
 1.58000000e+01,        -2.954484892463e+01,        +1.219915659242e+02,        -1.143185762279e-01,        +2.394039989334e+01
 1.59000000e+01,        -2.928463348810e+01,        +1.197436407603e+02,        -1.152139265420e-01,        +2.180871499761e+01
 1.60000000e+01,        -2.904144013236e+01,        +1.175085049577e+02,        -1.161025069279e-01,        +1.967698303970e+01
 1.61000000e+01,        -2.881455686144e+01,        +1.152851081658e+02,        -1.169828012637e-01,        +1.754520255126e+01
 1.62000000e+01,        -2.860335821374e+01,        +1.130725566728e+02,        -1.178532736127e-01,        +1.541337125682e+01
 1.63000000e+01,        -2.840729547883e+01,        +1.108700901307e+02,        -1.187123777822e-01,        +1.328148605555e+01
 1.64000000e+01,        -2.822588853962e+01,        +1.086770628035e+02,        -1.195585671689e-01,        +1.114954300783e+01
 1.65000000e+01,        -2.805871906244e+01,        +1.064929284216e+02,        -1.203903048358e-01,        +9.017537326811e+00
 1.66000000e+01,        -2.790542481557e+01,        +1.043172279442e+02,        -1.212060737640e-01,        +6.885463375095e+00
 1.67000000e+01,        -2.776569494157e+01,        +1.021495796926e+02,        -1.220043872189e-01,        +4.753314666696e+00
 1.68000000e+01,        -2.763926604493e+01,        +9.998967144345e+01,        -1.227837991709e-01,        +2.621083874308e+00
 1.69000000e+01,        -2.752591898454e+01,        +9.783725416429e+01,        -1.235429147073e-01,        +4.887628419939e-01
 1.70000000e+01,        -2.742547628398e+01,        +9.569213714926e+01,        -1.242804003736e-01,        -1.643657396701e+00
 1.71000000e+01,        -2.733780009138e+01,        +9.355418437225e+01,        -1.249949943783e-01,        -3.776186595210e+00
 1.72000000e+01,        -2.726279063637e+01,        +9.142331192229e+01,        -1.256855165991e-01,        -5.908835265009e+00
 1.73000000e+01,        -2.720038514543e+01,        +8.929948642633e+01,        -1.263508783250e-01,        -8.041614641367e+00
 1.74000000e+01,        -2.715055718854e+01,        +8.718272439964e+01,        -1.269900916712e-01,        -1.017453664387e+01
 1.75000000e+01,        -2.711331644098e+01,        +8.507309249467e+01,        -1.276022786046e-01,        -1.230761383184e+01
 1.76000000e+01,        -2.708870885393e+01,        +8.297070864942e+01,        -1.281866795172e-01,        -1.444085935485e+01
 1.77000000e+01,        -2.707681723775e+01,        +8.087574416531e+01,        -1.287426612886e-01,        -1.657428689852e+01
 1.78000000e+01,        -2.707776227115e+01,        +7.878842677542e+01,        -1.292697247788e-01,        -1.870791062573e+01
 1.79000000e+01,        -2.709170396050e+01,        +7.670904479805e+01,        -1.297675116955e-01,        -2.084174511372e+01
 1.80000000e+01,        -2.711884358464e+01,        +7.463795250916e+01,        -1.302358107831e-01,        -2.297580528708e+01
 1.81000000e+01,        -2.715942617349e+01,        +7.257557691333e+01,        -1.306745632835e-01,        -2.511010634723e+01
 1.82000000e+01,        -2.721374358401e+01,        +7.052242614908e+01,        -1.310838676201e-01,        -2.724466369850e+01
 1.83000000e+01,        -2.728213825443e+01,        +6.847909983433e+01,        -1.314639832634e-01,        -2.937949287131e+01
 1.84000000e+01,        -2.736500773967e+01,        +6.644630174619e+01,        -1.318153337387e-01,        -3.151460944278e+01
 1.85000000e+01,        -2.746281015668e+01,        +6.442485534346e+01,        -1.321385087382e-01,        -3.365002895525e+01
 1.86000000e+01,        -2.757607070163e+01,        +6.241572278819e+01,        -1.324342653106e-01,        -3.578576683304e+01
