        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.18000000e+01,        +1.414213562373e-01,        +1.435383224061e-01,        +5.358383954326e-04,        -4.591249323283e-02,        +1.323599641620e-01
 1.19000000e+01,        +1.414213562373e-01,        +1.434382826361e-01,        +4.093512796430e-04,        -4.096505493250e-02,        +1.339610456009e-01
 1.20000000e+01,        +1.414213562373e-01,        +1.433271631818e-01,        +2.896633579266e-04,        -3.596168120340e-02,        +1.353774787971e-01
 1.21000000e+01,        +1.414213562373e-01,        +1.432054250562e-01,        +1.776347820072e-04,        -3.090924310430e-02,        +1.366072916636e-01
 1.22000000e+01,        +1.414213562373e-01,        +1.430735964659e-01,        +7.409402822926e-05,        -2.581468370740e-02,        +1.376487661359e-01
 1.23000000e+01,        +1.414213562373e-01,        +1.429322706251e-01,        -2.016737550757e-05,        -2.068500886510e-02,        +1.385004411097e-01
 1.24000000e+01,        +1.414213562373e-01,        +1.427821031560e-01,        -1.043999726598e-04,        -1.552727782178e-02,        +1.391611150600e-01
 1.25000000e+01,        +1.414213562373e-01,        +1.426238090833e-01,        -1.779013181338e-04,        -1.034859367961e-02,        +1.396298483303e-01
 1.26000000e+01,        +1.414213562373e-01,        +1.424581594379e-01,        -2.400207035357e-04,        -5.156093728464e-03,        +1.399059650801e-01
 1.27000000e+01,        +1.414213562373e-01,        +1.422859774840e-01,        -2.901636363992e-04,        +4.306034894358e-05,        +1.399890548792e-01
 1.28000000e+01,        +1.414213562373e-01,        +1.421081345866e-01,        -3.277960432589e-04,        +5.241692384026e-03,        +1.398789739365e-01
 1.29000000e+01,        +1.414213562373e-01,        +1.419255457407e-01,        -3.524481676907e-04,        +1.043262172788e-02,        +1.395758459544e-01
 1.30000000e+01,        +1.414213562373e-01,        +1.417391647851e-01,        -3.637181359019e-04,        +1.560867334042e-02,        +1.390800625962e-01
 1.31000000e+01,        +1.414213562373e-01,        +1.415499793231e-01,        -3.612751641022e-04,        +2.076268794704e-02,        +1.383922835582e-01
 1.32000000e+01,        +1.414213562373e-01,        +1.413590053810e-01,        -3.448623837394e-04,        +2.588753224548e-02,        +1.375134362369e-01
 1.33000000e+01,        +1.414213562373e-01,        +1.411672818287e-01,        -3.142992626996e-04,        +3.097610914439e-02,        +1.364447149833e-01
 1.34000000e+01,        +1.414213562373e-01,        +1.409758645975e-01,        -2.694836027876e-04,        +3.602136801442e-02,        +1.351875799375e-01
 1.35000000e+01,        +1.414213562373e-01,        +1.407858207247e-01,        -2.103930961523e-04,        +4.101631493098e-02,        +1.337437554380e-01
 1.36000000e+01,        +1.414213562373e-01,        +1.405982222593e-01,        -1.370864258417e-04,        +4.595402288776e-02,        +1.321152280005e-01
 1.37000000e+01,        +1.414213562373e-01,        +1.404141400655e-01,        -4.970389831447e-05,        +5.082764195875e-02,        +1.303042438646e-01
 1.38000000e+01,        +1.414213562373e-01,        +1.402346375588e-01,        +5.153240150081e-05,        +5.563040938611e-02,        +1.283133061051e-01
 1.39000000e+01,        +1.414213562373e-01,        +1.400607644120e-01,        +1.663189391478e-04,        +6.035565957080e-02,        +1.261451713106e-01
 1.40000000e+01,        +1.414213562373e-01,        +1.398935502700e-01,        +2.942715471869e-04,        +6.499683394240e-02,        +1.238028458284e-01
 1.41000000e+01,        +1.414213562373e-01,        +1.397339985102e-01,        +4.349267299405e-04,        +6.954749068459e-02,        +1.212895815817e-01
 1.42000000e+01,        +1.414213562373e-01,        +1.395830800875e-01,        +5.877434539904e-04,        +7.400131429250e-02,        +1.186088714632e-01
 1.43000000e+01,        +1.414213562373e-01,        +1.394417275023e-01,        +7.521054189189e-04,        +7.835212493860e-02,        +1.157644443131e-01
 1.44000000e+01,        +1.414213562373e-01,        +1.393108289284e-01,        +9.273237997214e-04,        +8.259388762396e-02,        +1.127602594900e-01
 1.45000000e+01,        +1.414213562373e-01,        +1.391912225392e-01,        +1.112640449287e-03,        +8.672072109232e-02,        +1.096005010460e-01
 1.46000000e+01,        +1.414213562373e-01,        +1.390836910674e-01,        +1.307231546361e-03,        +9.072690648511e-02,        +1.062895715180e-01
 1.47000000e+01,        +1.414213562373e-01,        +1.389889566344e-01,        +1.510211671488e-03,        +9.460689571648e-02,        +1.028320853504e-01
 1.48000000e+01,        +1.414213562373e-01,        +1.389076758820e-01,        +1.720638290621e-03,        +9.835531954842e-02,        +9.923286196352e-02
 1.49000000e+01,        +1.414213562373e-01,        +1.388404354401e-01,        +1.937516623366e-03,        +1.019669953473e-01,        +9.549691848767e-02
 1.50000000e+01,        +1.414213562373e-01,        +1.387877477594e-01,        +2.159804870275e-03,        +1.054369345043e-01,        +9.162946217848e-02
 1.51000000e+01,        +1.414213562373e-01,        +1.387500473386e-01,        +2.386419771183e-03,        +1.087603495044e-01,        +8.763588253601e-02
 1.52000000e+01,        +1.414213562373e-01,        +1.387276873712e-01,        +2.616242464333e-03,        +1.119326606292e-01,        +8.352174314759e-02
 1.53000000e+01,        +1.414213562373e-01,        +1.387209368372e-01,        +2.848124613982e-03,        +1.149495022810e-01,        +7.929277327671e-02
 1.54000000e+01,        +1.414213562373e-01,        +1.387299780582e-01,        +3.080894772337e-03,        +1.178067289185e-01,        +7.495485922078e-02
 1.55000000e+01,        +1.414213562373e-01,        +1.387549047381e-01,        +3.313364940029e-03,        +1.205004205934e-01,        +7.051403546114e-02
 1.56000000e+01,        +1.414213562373e-01,        +1.387957205012e-01,        +3.544337287905e-03,        +1.230268880834e-01,        +6.597647562915e-02
 1.57000000e+01,        +1.414213562373e-01,        +1.388523379436e-01,        +3.772611001779e-03,        +1.253826776145e-01,        +6.134848331238e-02
 1.58000000e+01,        +1.414213562373e-01,        +1.389245782052e-01,        +3.996989210809e-03,        +1.275645751710e-01,        +5.663648272479e-02
 1.59000000e+01,        +1.414213562373e-01,        +1.390121710705e-01,        +4.216285959505e-03,        +1.295696103914e-01,        +5.184700926484e-02
 1.60000000e+01,        +1.414213562373e-01,        +1.391147556010e-01,        +4.429333182914e-03,        +1.313950600516e-01,        +4.698669998486e-02
 1.61000000e+01,        +1.414213562373e-01,        +1.392318813000e-01,        +4.634987644354e-03,        +1.330384511372e-01,        +4.206228399451e-02
 1.62000000e+01,        +1.414213562373e-01,        +1.393630098066e-01,        +4.832137795094e-03,        +1.344975635107e-01,        +3.708057282047e-02
 1.63000000e+01,        +1.414213562373e-01,        +1.395075171133e-01,        +5.019710515698e-03,        +1.357704321779e-01,        +3.204845074348e-02
 1.64000000e+01,        +1.414213562373e-01,        +1.396646962987e-01,        +5.196677699272e-03,        +1.368553491627e-01,        +2.697286513274e-02
 1.65000000e+01,        +1.414213562373e-01,        +1.398337607629e-01,        +5.362062637604e-03,        +1.377508649976e-01,        +2.186081679666e-02
 1.66000000e+01,        +1.414213562373e-01,        +1.400138479508e-01,        +5.514946172193e-03,        +1.384557898418e-01,        +1.671935036725e-02
 1.67000000e+01,        +1.414213562373e-01,        +1.402040235461e-01,        +5.654472573344e-03,        +1.389691942368e-01,        +1.155554473434e-02
 1.68000000e+01,        +1.414213562373e-01,        +1.404032861159e-01,        +5.779855111893e-03,        +1.392904095122e-01,        +6.376503544027e-03
 1.69000000e+01,        +1.414213562373e-01,        +1.406105721820e-01,        +5.890381289736e-03,        +1.394190278539e-01,        +1.189345774199e-03
 1.70000000e+01,        +1.414213562373e-01,        +1.408247616944e-01,        +5.985417697083e-03,        +1.393549020497e-01,        -3.998803601645e-03
 1.71000000e+01,        +1.414213562373e-01,        +1.410446838793e-01,        +6.064414466279e-03,        +1.390981449230e-01,        -9.180822852804e-03
 1.72000000e+01,        +1.414213562373e-01,        +1.412691234312e-01,        +6.126909294123e-03,        +1.386491284713e-01,        -1.434960262420e-02
 1.73000000e+01,        +1.414213562373e-01,        +1.414968270181e-01,        +6.172531006845e-03,        +1.380084827213e-01,        -1.949805495746e-02
